Job Title,Company Name,Skills
AI  /  ML Engineer,accenture,"natural language processing
python programming
deep learning
neural networks
cloud ai solutions
image processing
c
machine learning
java
technical skills"
AI / ML Engineer,Pravaig Dynamics,"AI  /  ML Engineering
Computer Vision
Object Detection  /  Classification
Deep Learning
Python and C
python
c
machine learning
linux"
AI  /  ML Engineer,accenture,"natural language processing
data mining
statistical modeling
python  /  r programming
ai applications
algorithms
lucene"
AI Frameworks Engineer,Intel Technology India Pvt Ltd,"sw optimization
ai frameworks
software development
communication skills
problem solving
cuda
c
microsoft technologies
storage
security
software engineering
c#
san
operating environments
python
kernel
team player
windows"
AI  /  ML Engineer,accenture,"python programming
ai tools
cloud services
deep learning
neural networks
image processing
algorithms
bi
machine learning
debugging
technical skills"
AI  /  ML Engineer,accenture,"machine learning
cloud ai services
deep learning models
neural networks
image processing
bi
tableau
data cleaning
data visualization
statistical analysis"
AI  /  ML Engineer,accenture,"automated testing
ee testing
proficiency in ai  /  ml
data visualization
problem solving
image processing
e2e testing
bi
qa"
AI  /  ML Engineer,accenture,"machine learning
cloud ai
genai models
deep learning
neural networks
image processing
data analysis
bi
linear regression
tableau
data cleaning
data visualization
statistical analysis
logistic regression"
AI Research Engineer / Scientist,Intel Technology India Pvt Ltd,"natural language processing
computer vision
deep learning
python programming
machine learning frameworks
fundamentals
algorithms
software engineering
system architecture
infrastructure"
AI-ML Engineer,shopsocially,"machine learning
data science
analytics
python programming
aws   (  amazon web services  )
algorithms
sql
software engineering
cloud computing
nosql"
AI / ML Engineer,Wipro Technologies Ltd,"**  machine learning solutions
deep learning frameworks
natural language processing
python and sql
cloud development experience **
microsoft azure
apache
hadoop
big data
technical skills"
AI  /  ML Engineer,accenture,"natural language processing   (  nlp  )
deep learning
neural networks
chatbots
image processing
algorithms
bi
machine learning
big data
technical skills"
AI  /  ML Engineer,accenture,"computer vision
deep learning
neural networks
image processing
chatbot development
algorithms
python
bi
machine learning
technical skills"
AI  /  ML Engineer,accenture,"machine learning
deep learning
neural networks
natural language processing
python programming
sql
neo4j
hadoop
big data"
AI  /  ML Engineer,accenture,"computer vision
deep learning
neural networks
chatbots
natural language processing
algorithms
python
c
machine learning
technical skills
cloud computing"
AI  /  ML Engineer,accenture,"machine learning
data science
python
r
java
tensorflow
keras
pytorch
natural language processing
hive
algorithms
hadoop
technical skills
big data"
AI Systems Engineer,Intel Technology India Pvt Ltd,"linux
python
c
dev  /  ops
full stack
cloud services"
"Python Developer ,  Data Science ,  ML ,  AI ,  Freshers ,  Django","AMAR TECHNOLABS PVT LTD
     (More Jobs)","Machine Learmning
MySql
Data Science
Training
Opps
Fresher
HTML
CSS
Python
CorePython
Java Script
Django
Intern
Database"
ION Group - AI Engineer - Graduate Development Program,ion trading india pvt. ltd.,"ai engineering
python scripting
nlp
data analysis
team collaboration
leadership development"
Senior AI Engineer - DriveSim Synthetic Scenario Generation,Nvidia Graphics Pvt Ltd,"**  generative ai models
deep neural networks
software engineering expertise
c   and python
parallel programming  **
fundamentals
cuda
algorithms
system software
data structures
machine learning
imaging"
"Senior AI Engineer ,  Singapore BCG X",THE BOSTON GROUP,"software development
data analytics
ai solutions
computational efficiency
client interaction
algorithms
c
software design
scala
storage
docker
sql
devops
data structures
hadoop
python
machine learning
javascript
infrastructure"
Senior AI Engineer Job Details | LANXESS,lanxess pvt ltd,"sklearn
pandas
numpy
nltk
matplotlib
seaborn
tensorflow
pytorch
pyspark
keras
c#
python
information technology
ds"
"ION Group - Senior AI Engineer ,  Italy",ion trading india pvt. ltd.,"machine learning
neural networks
natural language processing
python programming
software engineering practices
algorithms
scala
artificial intelligence
java
cloud services"
Azure Infrastructure Architect - J48247A,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)","Azure Infrastructure
Azure Data Engineer"
Prompt Engineer - Con - Bangalore - J48237,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)","Cognitive Science
NLP
Machine Learning"
AI  /  ML Engineer,accenture,"natural language processing
python programming
deep learning
neural networks
cloud ai solutions
image processing
c
machine learning
java
technical skills"
AI / ML Engineer,Pravaig Dynamics,"AI  /  ML Engineering
Computer Vision
Object Detection  /  Classification
Deep Learning
Python and C
python
c
machine learning
linux"
AI  /  ML Engineer,accenture,"natural language processing
data mining
statistical modeling
python  /  r programming
ai applications
algorithms
lucene"
AI Frameworks Engineer,Intel Technology India Pvt Ltd,"sw optimization
ai frameworks
software development
communication skills
problem solving
cuda
c
microsoft technologies
storage
security
software engineering
c#
san
operating environments
python
kernel
team player
windows"
AI  /  ML Engineer,accenture,"python programming
ai tools
cloud services
deep learning
neural networks
image processing
algorithms
bi
machine learning
debugging
technical skills"
AI  /  ML Engineer,accenture,"machine learning
cloud ai services
deep learning models
neural networks
image processing
bi
tableau
data cleaning
data visualization
statistical analysis"
AI  /  ML Engineer,accenture,"automated testing
ee testing
proficiency in ai  /  ml
data visualization
problem solving
image processing
e2e testing
bi
qa"
AI  /  ML Engineer,accenture,"machine learning
cloud ai
genai models
deep learning
neural networks
image processing
data analysis
bi
linear regression
tableau
data cleaning
data visualization
statistical analysis
logistic regression"
AI Research Engineer / Scientist,Intel Technology India Pvt Ltd,"natural language processing
computer vision
deep learning
python programming
machine learning frameworks
fundamentals
algorithms
software engineering
system architecture
infrastructure"
AI-ML Engineer,shopsocially,"machine learning
data science
analytics
python programming
aws   (  amazon web services  )
algorithms
sql
software engineering
cloud computing
nosql"
AI / ML Engineer,Wipro Technologies Ltd,"**  machine learning solutions
deep learning frameworks
natural language processing
python and sql
cloud development experience **
microsoft azure
apache
hadoop
big data
technical skills"
AI  /  ML Engineer,accenture,"natural language processing   (  nlp  )
deep learning
neural networks
chatbots
image processing
algorithms
bi
machine learning
big data
technical skills"
AI  /  ML Engineer,accenture,"computer vision
deep learning
neural networks
image processing
chatbot development
algorithms
python
bi
machine learning
technical skills"
AI  /  ML Engineer,accenture,"machine learning
deep learning
neural networks
natural language processing
python programming
sql
neo4j
hadoop
big data"
AI  /  ML Engineer,accenture,"computer vision
deep learning
neural networks
chatbots
natural language processing
algorithms
python
c
machine learning
technical skills
cloud computing"
AI  /  ML Engineer,accenture,"machine learning
data science
python
r
java
tensorflow
keras
pytorch
natural language processing
hive
algorithms
hadoop
technical skills
big data"
AI Systems Engineer,Intel Technology India Pvt Ltd,"linux
python
c
dev  /  ops
full stack
cloud services"
